entry_index,timestamp,signal,entry,stop_loss,target,risk_reward,confidence,result,exit_time
269,2026-05-10 16:00:00,BUY,81378.25,80816.22,83064.34,3.0,0.95,LOSS,2026-05-10 20:00:00
405,2026-05-16 08:00:00,SELL,78426.56,79047.94,76562.41999999998,3.0,0.95,WIN,2026-05-18 14:00:00
665,2026-05-27 04:00:00,SELL,75579.01,76565.18671428571,72620.47985714285,3.0,0.9489433860778809,WIN,2026-05-28 14:00:00
1081,2026-06-13 13:00:00,BUY,64102.69,63680.64671428572,65368.819857142844,3.0,0.95,LOSS,2026-06-14 18:00:00
1317,2026-06-23 09:00:00,SELL,62386.0,64275.38,56717.86000000001,3.0,0.95,TIMEOUT,
1641,2026-07-06 21:00:00,BUY,64489.98,63338.126000000004,67945.542,3.0,0.9345997309684754,LOSS,2026-07-07 02:00:00
1925,2026-07-18 17:00:00,BUY,64480.29,64037.45,65808.81000000001,3.0,0.95,LOSS,2026-07-20 06:00:00
2229,2026-07-31 10:00:00,SELL,63918.67,64585.94257142857,61916.85228571429,3.0,0.95,LOSS,2026-08-05 15:00:00
2449,2026-08-09 14:00:00,BUY,65260.01,64914.73,66295.85,3.000000000000021,0.95,LOSS,2026-08-09 23:00:00
2625,2026-08-16 22:00:00,SELL,62913.7,63230.0,61964.79999999999,3.0,0.95,LOSS,2026-08-17 01:00:00
2689,2026-08-19 14:00:00,BUY,65923.21,64255.0,70927.84000000003,3.0,0.95,WIN,2026-08-20 08:00:00
